id,mot,contains,restant
604,chiers,0,26976
605,guillaume,0,26976
606,pouy,3,26973
607,escaut,0,26973
608,mance,1,26972
609,matz,0,26972
610,fons,3,26969
611,bordeaux,3,26966
612,conflans,0,26966
613,claude,3,26963
614,cap,3,26960
615,salvetat,2,26958
616,thuit,5,26953
617,martigny,5,26948
618,corbieres,5,26943
619,gee,1,26942
620,bayon,1,26941
621,vallee,3,26938
622,baume,2,26936
623,arnoult,1,26935
624,soubiran,3,26932
625,chalais,3,26929
626,madon,0,26929
627,beuvron,2,26927
628,fargues,3,26924
629,charmont,2,26922
630,marnay,3,26919
631,salle,2,26917
632,sornin,0,26917
633,torcy,3,26914
634,ain,0,26914
635,fontanes,5,26909
636,eglises,5,26904
637,aigremont,4,26900
638,vallon,2,26898
639,salins,2,26896
640,vieil,4,26892
641,thouarsais,4,26888
642,thury,3,26885
643,essarts,4,26881
644,lay,2,26879
645,bouy,4,26875
646,livry,4,26871
647,arques,4,26867
648,sebastien,0,26867
649,françois,2,26865
650,rennes,4,26861
651,barbuise,1,26860
652,montpezat,3,26857
653,valence,3,26854
654,gennes,3,26851
655,ars,3,26848
656,lacroix,2,26846
657,ornain,0,26846
658,hem,4,26842
659,selve,4,26838
660,gartempe,1,26837
661,savignac,4,26833
662,plaisance,4,26829
663,crespin,3,26826
664,coole,1,26825
665,viel,2,26823
666,amans,0,26823
667,aix,4,26819
668,felines,3,26816
669,orville,5,26811
670,toulon,2,26809
671,romilly,1,26808
672,seiche,0,26808
673,baron,4,26804
674,marignac,5,26799
675,barse,0,26799
676,pleine,2,26797
677,borderes,3,26794
678,bonnieres,2,26792
679,auxon,2,26790
680,muret,1,26789
681,goupillieres,4,26785
682,tournon,1,26784
683,montreal,4,26780
684,murs,3,26777
685,renneville,3,26774
686,pressigny,2,26772
687,cuverville,3,26769
688,caprais,0,26769
689,lapeyrouse,3,26766
690,auban,0,26766
691,fiumorbo,0,26766
692,paroy,2,26764
693,roquebrune,2,26762
694,fayel,3,26759
695,cisse,1,26758
696,arros,2,26756
697,fiacre,0,26756
698,frechet,2,26754
699,rognon,1,26753
700,doubs,1,26752
701,gaillon,1,26751
702,sassey,1,26750
703,avold,3,26747
704,reine,0,26747
705,poilly,1,26746
706,aubigne,3,26743
707,vincelles,4,26739
708,cecile,0,26739
709,maisoncelle,2,26737
710,maumusson,4,26733
711,clocher,2,26731
712,durban,1,26730
713,montpeyroux,4,26726
