mot,score
frontenac,1
reole,1
capdenac,1
chambry,1
bierne,1
reparata,1
hodeng,1
houlbec,1
bellou,1
henin,1
mauger,1
santilly,1
herbisse,1
santin,1
tonnay,1
collandres,1
clairefontaine,1
melisey,1
gemmes,1
bez,1
carhaix,1
belrain,1
santo,1
tolosan,1
melle,1
beynes,1
belvedere,1
beynac,1
frenois,1
torfou,1
torcypetit,1
chalus,1
torcygrand,1
carnac,1
fauville,1
belvezet,1
chamalieres,1
torce,1
raville,1
coligny,1
gaillac,1
fave,1
carlucet,1
salettes,1
sales,1
mauco,1
montrachet,1
membrolle,1
trevoux,1
sec,1
biard,1
genevievebois,1
gagnac,1
meme,1
caradec,1
mouret,1
renon,1
salans,1
bias,1
salanque,1
geneys,1
genetouze,1
montredon,1
montrevel,1
salelles,1
toirac,1
schweighouse,1
belmontet,1
genay,1
mure,1
chambery,1
generac,1
chamboeuf,1
oberdorf,1
genes,1
henry,1
scorff,1
melun,1
carbini,1
nueil,1
colmars,1
houssaye,1
campigny,1
montlouis,1
nages,1
campeaux,1
noyant,1
senaillac,1
champenoise,1
senantes,1
geraud,1
thorame,1
sarcey,1
haux,1
reveillon,1
sadirac,1
hautvillers,1
bissy,1
sagy,1
massingy,1
cierges,1
semons,1
bion,1
nabor,1
semerville,1
bionne,1
bionville,1
biot,1
champaubert,1
raon,1
ciel,1
nabord,1
montmain,1
thory,1
thors,1
sarcelles,1
saignes,1
meouge,1
bitry,1
franconville,1
campagnac,1
francillon,1
montjustin,1
francieres,1
nalliers,1
mercoeur,1
blacy,1
cerdon,1
fenouillet,1
blagny,1
thoix,1
montjoie,1
mercurio,1
ferce,1
montjoi,1
senlis,1
sacy,1
eulmont,1
moulines,1
champey,1
senart,1
camou,1
ranville,1
camors,1
camon,1
thones,1
gerbecourt,1
revigny,1
huillard,1
gerberoy,1
sendets,1
euphemie,1
champfleury,1
fenioux,1
saillac,1
bellay,1
sanvignes,1
frontignan,1
bignon,1
ressons,1
nuaille,1
cenac,1
cintray,1
thurien,1
cernon,1
feings,1
canivet,1
feissons,1
fel,1
gentilly,1
chamoux,1
sap,1
champagnac,1
genouilly,1
scey,1
montmaur,1
cannet,1
canteloup,1
bievre,1
frontenay,1
resie,1
housset,1
gabriac,1
collongues,1
genos,1
mussy,1
menetreol,1
colmar,1
bellengreville,1
genouillac,1
genouille,1
canny,1
thun,1
canet,1
montmort,1
bellefosse,1
myon,1
belleau,1
hebecourt,1
menneville,1
retourne,1
thoury,1
noyelle,1
cerneux,1
saillans,1
hayes,1
mouillac,1
montmedy,1
frouville,1
sarce,1
georgesla,1
sapois,1
canale,1
canapville,1
montmoreau,1
noyen,1
montmorin,1
sarrazac,1
colmont,1
hecourt,1
sapogne,1
muzillac,1
cernin,1
champagnat,1
cande,1
cenon,1
billom,1
bellecombe,1
canchy,1
schaffhouse,1
herly,1
evre,1
hilairela,1
saussey,1
cessey,1
mouron,1
honfleur,1
frolois,1
sauvage,1
freville,1
trelon,1
mauriac,1
mortiers,1
cazalis,1
chagny,1
honore,1
mouton,1
castin,1
regny,1
berry,1
mortemer,1
mortemart,1
sampigny,1
saussay,1
hon,1
morillon,1
berquin,1
